loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,3,Not Graduate,No,3652097,23645542,16,673,29334345,14295361,32255271,9314569,Approved
2,4,Not Graduate,No,7492306,10861021,16,734,2316275,16583346,34505127,8799653,Approved
3,2,Not Graduate,Yes,1418284,10822351,6,486,14149448,521777,27484830,10190935,Rejected
4,4,Not Graduate,No,7288727,7365341,8,689,490958,5491199,27216798,11131795,Approved
5,4,Graduate,No,3280202,14162660,4,517,6409401,16480342,33481919,11123603,Rejected
6,1,Not Graduate,Yes,6202874,20071730,4,407,9233747,11468493,35425939,13038186,Rejected
7,2,Not Graduate,Yes,7718933,6387206,8,849,2573431,14160496,25813840,5806451,Approved
8,2,Graduate,Yes,5583182,25903117,12,648,4546869,13147925,37739422,6939007,Approved
9,2,Graduate,No,4888827,29432641,10,821,4220196,6234464,28858445,10788352,Approved
10,4,Not Graduate,No,6717320,5561730,2,325,21831470,12271315,39791200,13192101,Rejected
11,3,Not Graduate,No,5992819,25594448,20,347,6546755,5007321,8361936,4954791,Rejected
12,2,Graduate,No,9210815,787055,2,669,26014468,15786911,18221034,9642077,Approved
13,5,Not Graduate,No,7842139,29330567,12,313,20367582,15654941,37492156,13530797,Rejected
14,4,Not Graduate,No,9230672,13522577,6,486,20950382,4873562,39564409,12267554,Rejected
15,1,Not Graduate,Yes,1065630,1521742,6,823,1587322,6052761,20119546,8809141,Approved
16,3,Not Graduate,Yes,5587691,18341510,14,578,28464720,8423916,22753852,1554304,Rejected
17,5,Graduate,No,4525001,25709050,2,640,14856150,2555862,13897792,9338762,Approved
18,5,Graduate,No,3172881,11593605,2,627,19956967,8867563,32012658,3752948,Approved
19,1,Graduate,No,8301294,14872593,20,324,18571995,14017006,23758481,9410149,Rejected
20,3,Not Graduate,No,9898597,18392913,6,828,25073240,16019843,33598268,3863175,Approved
21,4,Not Graduate,No,8757286,16268345,16,725,24249020,8340290,24873224,6005094,Approved
22,0,Not Graduate,Yes,6011303,1773783,2,328,13084850,9325820,16117637,8121125,Approved
23,3,Not Graduate,Yes,5479947,27184365,20,622,12864126,9257589,6505665,6345553,Approved
24,1,Not Graduate,No,9564532,6865837,8,612,17469160,13241258,16675317,4519115,Approved
25,5,Graduate,Yes,9392397,16778093,18,883,16186409,9166877,24880795,12192935,Approved
26,4,Not Graduate,No,8759531,21008824,8,569,23255556,12565102,33636839,2738615,Rejected
